,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
143,SOFI,"SoFi Technologies, Inc.",7.50B,-0.39%,22325397,2.12B
144,IVZ,Invesco Ltd.,7.13B,-0.50%,727410,5.72B
145,CFR,Cullen Frost Bankers Inc.,6.98B,-1.09%,44038,1.94B
146,CMA,Comerica Incorporated,6.98B,-0.57%,478988,3.50B
147,VOYA,"Voya Financial, Inc.",6.97B,0.35%,370429,7.35B
148,CACC,Credit Acceptance Corporation,6.85B,-1.12%,14672,1.90B
149,CBSH,"Commerce Bancshares, Inc.",6.84B,-0.36%,40537,1.54B
150,RLI,RLI Corp.,6.69B,0.54%,57450,1.51B
151,WAL,Western Alliance Bancorporation,6.64B,-2.16%,394830,2.56B
152,PNFP,"Pinnacle Financial Partners, Inc.",6.44B,-0.44%,144976,1.60B
153,SSB,SouthState Corporation,6.37B,-0.27%,136445,1.63B
154,SIGI,"Selective Insurance Group, Inc.",6.34B,0.17%,153360,4.23B
155,MARA,"Marathon Digital Holdings, Inc.",6.23B,-12.10%,43346616,387.51M
156,ZION,"Zions Bancorporation,NA",6.20B,-1.49%,2461757,2.98B
157,BPOP,"Popular, Inc.",6.13B,-0.22%,128900,2.57B
158,HLNE,Hamilton Lane Incorporated,6.03B,-0.62%,53552,489.97M
159,WTFC,Wintrust Financial Corporation,6.00B,-1.12%,99922,2.16B
160,PB,"Prosperity Bancshares, Inc.",5.90B,0.10%,70153,1.09B
161,OBDC,Blue Owl Capital Corporation,5.88B,0.07%,738092,1.58B
162,SNV,Synovus Financial Corp.,5.80B,-0.33%,122624,2.03B
163,OMF,"OneMain Holdings, Inc.",5.78B,-0.27%,116444,2.56B
164,ESNT,Essent Group Ltd.,5.77B,1.70%,166192,1.11B
165,FAF,First American Financial Corporation,5.75B,1.38%,176790,6.00B
166,BOKF,BOK Financial Corporation,5.67B,-1.25%,25423,2.02B
167,FSK,FS KKR Capital Corp.,5.38B,0.73%,757395,1.83B
168,MTG,MGIC Investment Corporation,5.33B,5.72%,868683,1.16B
169,FCFS,"FirstCash Holdings, Inc",5.25B,0.60%,22636,3.15B
170,AMG,"Affiliated Managers Group, Inc.",5.22B,-0.21%,34675,2.06B
171,AXS,AXIS Capital Holdings Limited,5.17B,0.49%,125504,5.64B
172,JHG,Janus Henderson Group plc,5.13B,-1.00%,771665,2.10B
173,CADE,Cadence Bank,5.11B,0.21%,229232,1.65B
174,AGO,Assured Guaranty Ltd.,5.01B,-0.90%,53190,1.37B
175,OZK,Bank OZK,4.99B,-1.70%,353478,1.79B
176,ONB,Old National Bancorp,4.91B,-0.12%,257340,1.78B
177,FNB,F.N.B. Corporation,4.90B,-0.59%,199290,1.50B
178,HOMB,"Home Bancshares, Inc. (Conway, AR)",4.82B,0.13%,134138,984.75M
179,WU,The Western Union Company,4.82B,0.14%,1016002,4.36B
180,BNRE,Brookfield Reinsurance Ltd.,4.73B,0.07%,1772,6.25B
181,UBSI,"United Bankshares, Inc.",4.72B,1.00%,123047,1.02B
182,THG,"The Hanover Insurance Group, Inc.",4.66B,0.32%,14305,5.99B
183,FFIN,"First Financial Bankshares, Inc.",4.65B,-1.32%,44065,481.18M
184,COOP,Mr. Cooper Group Inc.,4.64B,1.09%,40156,1.79B
185,LNC,Lincoln National Corporation,4.59B,0.44%,352564,11.65B
186,GBCI,"Glacier Bancorp, Inc.",4.59B,0.30%,104388,794.97M
187,DNB,"Dun & Bradstreet Holdings, Inc.",4.59B,0.10%,359537,2.31B
188,JXN,Jackson Financial Inc.,4.57B,2.62%,466782,3.16B
189,ACT,"Enact Holdings, Inc.",4.57B,2.65%,60745,1.15B
190,SLM,SLM Corporation,4.56B,0.63%,947022,1.46B
191,FG,"F&G Annuities & Life, Inc.",4.54B,0.03%,9296,4.50B
192,ESGR,Enstar Group Limited,4.49B,1.45%,5606,1.43B
193,RDN,Radian Group Inc.,4.47B,6.54%,939810,1.24B
194,FRHC,Freedom Holding Corp.,4.43B,-0.19%,8216,1.40B
195,AEL,American Equity Investment Life Holding Company,4.41B,0.13%,36441,2.84B
196,BNRE.A,Brookfield Reinsurance Ltd,4.40B,-0.07%,1659,6.25B
197,WTM,"White Mountains Insurance Group, Ltd.",4.40B,0.29%,3801,2.17B
198,PFSI,"PennyMac Financial Services, Inc.",4.38B,-0.97%,217542,1.40B
199,COLB,"Columbia Banking System, Inc.",4.07B,0.10%,635089,1.78B
200,VLY,Valley National Bancorp,4.05B,2.26%,2449362,1.84B
201,UMBF,UMB Financial Corporation,4.04B,-1.16%,24765,1.42B
202,CRVL,CorVel Corporation,3.98B,0.42%,7809,773.52M
203,PJT,PJT Partners Inc.,3.93B,-0.94%,64625,1.15B
204,GGAL,Grupo Financiero Galicia S.A.,3.91B,-3.59%,187625,1.72B
205,MAIN,Main Street Capital Corporation,3.90B,0.37%,82491,500.39M
206,AB,AllianceBernstein Holding L.P.,3.87B,-0.62%,67351,299.78M
207,STEP,StepStone Group Inc.,3.85B,0.41%,40847,527.20M
208,HWC,Hancock Whitney Corporation,3.84B,-0.90%,39477,1.33B
209,CNS,"Cohen & Steers, Inc.",3.74B,-0.83%,16860,489.64M
210,KMPR,Kemper Corporation,3.71B,1.13%,56323,4.94B
211,TFSL,TFS Financial Corporation,3.60B,-0.70%,60955,301.59M
212,SFBS,"ServisFirst Bancshares, Inc.",3.57B,0.47%,33113,422.64M
213,MC,Moelis & Company,3.55B,0.43%,93340,854.75M
214,AMTD,AMTD IDEA Group,3.51B,1.17%,3017,235.75M
215,LAZ,Lazard Ltd,3.45B,-0.58%,133118,2.52B
216,BGC,"BGC Group, Inc",3.39B,0.47%,1346935,2.03B
217,IBOC,International Bancshares Corporation,3.35B,0.50%,36970,798.87M
218,NNI,"Nelnet, Inc.",3.28B,-0.30%,28571,1.15B
219,ABCB,Ameris Bancorp,3.28B,-0.21%,22797,935.22M
220,IFS,Intercorp Financial Services Inc.,3.26B,0.25%,6835,1.15B
221,ASB,Associated Banc-Corp,3.21B,-0.09%,262084,1.02B
222,UCBI,"United Community Banks, Inc.",3.12B,-0.46%,54626,803.82M
223,VIRT,"Virtu Financial, Inc.",3.10B,2.14%,193949,2.29B
224,WD,"Walker & Dunlop, Inc.",3.09B,-0.15%,125835,1.05B
225,APAM,Artisan Partners Asset Management Inc.,3.08B,0.22%,46132,975.13M
226,LU,Lufax Holding Ltd,3.08B,1.51%,1483700,5.46B
227,BUR,Burford Capital Limited,3.05B,-1.14%,269849,-
228,HGTY,"Hagerty, Inc.",3.01B,-0.11%,10679,952.17M
229,GSHD,"Goosehead Insurance, Inc",3.01B,-4.64%,30320,261.28M
230,BMA,Banco Macro S.A.,2.99B,-2.53%,37617,2.81B
231,FHI,"Federated Hermes, Inc.",2.98B,2.04%,145733,1.61B
232,BHF,"Brighthouse Financial, Inc.",2.94B,1.28%,47616,4.12B
233,BANF,BancFirst Corporation,2.94B,-0.08%,7659,602.41M
234,AVAL,Grupo Aval Acciones y Valores S.A.,2.93B,-1.96%,5191,2.82B
235,AX,"Axos Financial, Inc.",2.93B,-1.36%,453195,1.03B
236,CATY,Cathay General Bancorp,2.92B,-0.10%,71361,784.06M
237,CNO,"CNO Financial Group, Inc.",2.92B,0.22%,100276,4.15B
238,PIPR,Piper Sandler Companies,2.90B,-0.11%,19533,1.35B
239,FBP,First BanCorp.,2.88B,-1.92%,227718,868.86M
240,TCBI,"Texas Capital Bancshares, Inc.",2.88B,-0.89%,117666,1.00B
241,HTGC,"Hercules Capital, Inc.",2.87B,0.22%,284036,460.67M
242,FIBK,"First Interstate BancSystem, Inc.",2.76B,0.41%,561319,993.60M
243,GNW,"Genworth Financial, Inc.",2.75B,2.09%,860459,7.49B
244,FHB,"First Hawaiian, Inc.",2.73B,-0.23%,91531,810.31M
245,AMK,"AssetMark Financial Holdings, Inc.",2.69B,-1.08%,21288,714.45M
246,GBDC,"Golub Capital BDC, Inc.",2.68B,0.19%,238142,630.98M
247,MCY,Mercury General Corporation,2.68B,-1.75%,70765,4.63B
248,WSFS,WSFS Financial Corporation,2.63B,0.23%,38489,926.90M
249,AUB,Atlantic Union Bankshares Corporation,2.63B,-0.71%,35663,670.27M
250,INTR,"Inter & Co, Inc.",2.62B,0.50%,358376,975.89M
251,VCTR,"Victory Capital Holdings, Inc.",2.55B,-0.30%,309152,821.03M
252,FULT,Fulton Financial Corporation,2.52B,-0.19%,242562,1.03B
253,CBU,"Community Bank System, Inc.",2.52B,0.04%,58059,640.92M
254,QFIN,Qifu Technology Inc.,2.51B,-1.49%,433086,2.16B
255,BOH,Bank of Hawaii Corporation,2.49B,-0.84%,61009,664.63M
256,SFNC,Simmons First National Corporation,2.47B,-0.25%,58671,763.66M
257,NYCB,"New York Community Bancorp, Inc.",2.47B,-4.97%,18002512,5.07B
258,CVBF,CVB Financial Corp.,2.47B,-0.28%,139578,545.32M
259,EBC,"Eastern Bankshares, Inc.",2.38B,0.98%,354927,292.60M
260,NMIH,"NMI Holdings, Inc.",2.37B,3.76%,79306,579.00M
261,BANC,"Banc of California, Inc.",2.34B,0.67%,2070417,246.84M
262,PUYI,Puyi Inc.,2.32B,0.75%,4835,15.81M
263,WAFD,WaFd Inc,2.30B,0.86%,75987,673.02M
264,UPST,"Upstart Holdings, Inc.",2.30B,-3.91%,2146261,513.56M
265,PPBI,"Pacific Premier Bancorp, Inc.",2.27B,-0.04%,91793,440.99M
266,PAX,Patria Investments Limited,2.21B,0.13%,54293,307.16M
267,INDB,Independent Bank Corp.,2.20B,0.62%,66755,707.88M
268,PSEC,Prospect Capital Corporation,2.17B,1.29%,680302,883.81M
269,PRK,Park National Corporation,2.16B,-1.15%,5756,462.84M
270,SNEX,StoneX Group Inc.,2.14B,0.20%,24975,67.42B
271,SBCF,Seacoast Banking Corporation of Florida,2.13B,-0.56%,34579,529.87M
272,FFBC,First Financial Bancorp.,2.10B,-0.45%,38494,797.09M
