,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
119,MAT,"Mattel, Inc.",7.11B,1.67%,501656,5.44B
120,BERY,"Berry Global Group, Inc.",7.03B,0.60%,144263,12.46B
121,BFAM,Bright Horizons Family Solutions Inc.,6.75B,-1.04%,58932,2.42B
122,HRB,"H&R Block, Inc.",6.72B,-0.87%,231131,3.49B
123,MMYT,MakeMyTrip Limited,6.63B,2.01%,219935,728.16M
124,ALSN,"Allison Transmission Holdings, Inc.",6.63B,0.70%,160806,3.04B
125,DDS,"Dillard's, Inc.",6.58B,0.45%,18877,6.87B
126,CART,Maplebear Inc.,6.47B,0.35%,754490,3.04B
127,BROS,Dutch Bros Inc.,6.41B,5.19%,1297558,965.78M
128,CHH,"Choice Hotels International, Inc.",6.33B,5.57%,1132501,1.54B
129,VFC,V.F. Corporation,6.26B,-0.62%,1541100,10.82B
130,AN,"AutoNation, Inc.",6.21B,-0.42%,44930,26.95B
131,TMHC,Taylor Morrison Home Corporation,6.19B,-0.86%,107392,7.42B
132,WH,"Wyndham Hotels & Resorts, Inc.",6.16B,2.42%,691769,1.40B
133,BC,Brunswick Corporation,6.15B,-0.04%,117512,6.40B
134,REYN,Reynolds Consumer Products Inc.,6.10B,-0.55%,70872,3.76B
135,BYD,Boyd Gaming Corporation,6.09B,0.35%,125346,3.74B
136,WHR,Whirlpool Corporation,5.95B,-0.61%,224547,19.46B
137,ANF,Abercrombie & Fitch Co.,5.91B,-1.77%,831066,4.28B
138,RRR,"Red Rock Resorts, Inc.",5.81B,-0.98%,27437,1.72B
139,M,"Macy's, Inc.",5.80B,-2.84%,3582382,23.87B
140,MTH,Meritage Homes Corporation,5.78B,-1.28%,96745,6.14B
141,GIL,Gildan Activewear Inc.,5.76B,-0.56%,3912723,3.20B
142,PLNT,"Planet Fitness, Inc.",5.65B,-2.69%,174238,1.07B
143,SON,Sonoco Products Company,5.65B,-0.03%,110926,6.78B
144,LOT,Lotus Technology Inc.,5.62B,12.80%,88728,139.59M
145,MNSO,MINISO Group Holding Limited,5.62B,5.04%,677206,1.72B
146,THO,"Thor Industries, Inc.",5.60B,-1.66%,186094,10.38B
147,GLBE,Global-e Online Ltd.,5.50B,-0.62%,225066,569.95M
148,CPRI,Capri Holdings Limited,5.45B,-0.62%,97453,5.28B
149,KBH,KB Home,5.27B,-0.50%,134833,6.41B
150,SEE,Sealed Air Corporation,5.27B,2.58%,271236,5.49B
151,HOG,"Harley-Davidson, Inc.",5.25B,1.43%,479778,5.84B
152,PII,Polaris Inc.,5.23B,-0.88%,87224,8.93B
153,ASO,"Academy Sports and Outdoors, Inc.",5.21B,-2.55%,358773,6.11B
154,RH,RH,5.05B,1.75%,114518,3.06B
155,IGT,International Game Technology PLC,5.03B,0.28%,130063,4.55B
156,COLM,Columbia Sportswear Company,4.82B,-1.10%,78682,3.49B
157,HGV,Hilton Grand Vacations Inc.,4.78B,2.57%,578747,3.98B
158,SKY,Skyline Champion Corporation,4.76B,-0.17%,23217,1.98B
159,DOOO,BRP Inc.,4.75B,-0.24%,19533,7.85B
160,SLGN,Silgan Holdings Inc.,4.71B,1.54%,119320,5.99B
161,MDC,"M.D.C. Holdings, Inc.",4.70B,-,614892,4.64B
162,GME,GameStop Corp.,4.41B,-1.50%,1094742,5.71B
163,AEO,"American Eagle Outfitters, Inc.",4.40B,1.03%,1637293,5.08B
164,MOD,Modine Manufacturing Company,4.38B,-3.05%,505384,2.42B
165,AAP,"Advance Auto Parts, Inc.",4.35B,3.68%,299770,11.30B
166,SIG,Signet Jewelers Limited,4.30B,-0.94%,118821,7.34B
167,ABG,"Asbury Automotive Group, Inc.",4.28B,0.39%,24943,14.80B
168,SHAK,Shake Shack Inc.,4.20B,-3.44%,329459,1.09B
169,GOLF,Acushnet Holdings Corp.,4.00B,-1.85%,50017,2.38B
170,URBN,"Urban Outfitters, Inc.",3.85B,-1.76%,350092,5.05B
171,RUSHA,"Rush Enterprises, Inc.",3.79B,-1.51%,54357,7.93B
172,RUSHB,"Rush Enterprises, Inc.",3.79B,-1.98%,7277,7.93B
173,WEN,The Wendy's Company,3.78B,0.16%,462081,2.18B
174,TRIP,"Tripadvisor, Inc.",3.66B,0.15%,823566,1.79B
175,PSNY,Polestar Automotive Holding UK PLC,3.63B,-3.49%,668984,2.83B
176,ZGN,Ermenegildo Zegna N.V.,3.62B,-0.07%,162406,1.83B
177,GPI,"Group 1 Automotive, Inc.",3.59B,0.79%,17452,17.87B
178,UA,"Under Armour, Inc.",3.59B,-1.37%,698435,5.77B
179,DFH,"Dream Finders Homes, Inc.",3.56B,1.29%,62237,3.75B
180,UAA,"Under Armour, Inc.",3.54B,-1.66%,1553935,5.77B
181,MHO,"M/I Homes, Inc.",3.53B,-0.20%,41698,4.03B
182,GT,The Goodyear Tire & Rubber Company,3.52B,2.53%,630447,20.07B
