,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
149,NATR,"Nature's Sunshine Products, Inc.",340.49M,-3.42%,23831,439.13M
150,LMNR,Limoneira Company,330.04M,-0.22%,76598,181.73M
151,VSTA,Vasta Platform Limited,320.37M,-0.52%,218194,288.01M
152,LINC,Lincoln Educational Services Corporation,315.05M,-0.60%,37980,378.07M
153,DDL,Dingdong (Cayman) Limited,302.85M,5.00%,215387,2.82B
154,AFRI,Forafric Global PLC,282.77M,-1.62%,371,280.40M
155,MYND,Mynd.ai Inc,223.79M,-3.91%,18863,38.46M
156,APEI,"American Public Education, Inc.",215.14M,-2.60%,82778,600.55M
157,ALCO,"Alico, Inc.",206.83M,-1.55%,4053,43.24M
158,FREE,"Whole Earth Brands, Inc.",204.44M,-,529088,538.65M
159,HFFG,HF Foods Group Inc.,198.74M,-7.08%,12822,1.16B
160,MAMA,"Mama's Creations, Inc.",185.74M,-2.81%,98859,99.38M
161,LWAY,"Lifeway Foods, Inc.",169.83M,-7.44%,11027,153.87M
162,QSG,QuantaSing Group Ltd,164.94M,7.01%,78351,3.49B
163,STG,Sunlands Technology Group,144.84M,1.57%,3488,302.12M
164,ACU,Acme United Corporation,144.79M,-0.30%,11991,191.50M
165,WILC,G. Willi-Food International Ltd.,142.74M,-3.17%,2314,141.13M
166,BIG,"Big Lots, Inc.",129.14M,-6.79%,621753,4.83B
167,DIT,AMCON Distributing Company,125.43M,-2.50%,132,2.62B
168,JZ,Jianzhi Education Technology Group Company Limited,111.42M,6.28%,1350,525.98M
169,IH,iHuman Inc.,106.01M,-2.93%,21622,143.60M
170,FTLF,"FitLife Brands, Inc.",99.87M,-3.88%,217,44.77M
171,SKIL,Skillsoft Corp.,96.61M,0.51%,8093,-
172,BRID,Bridgford Foods Corporation,93.95M,-2.16%,262,244.86M
173,ZVIA,Zevia PBC,90.99M,-3.55%,42882,166.42M
174,LFVN,LifeVantage Corporation,89.37M,-0.22%,29970,210.95M
175,VFF,"Village Farms International, Inc.",79.15M,1.53%,187653,280.84M
176,AXIL,AXIL Brands Inc.,79.03M,2.36%,2561,27.08M
177,FARM,Farmer Bros. Co.,78.61M,1.07%,25065,381.07M
178,DTCK,Davis Commodities Limited,78.56M,17.50%,199560,206.72M
179,GROV,"Grove Collaborative Holdings, Inc.",73.78M,-5.08%,23638,273.46M
180,AIU,Meta Data Limited,61.58M,1.25%,16834,32.43M
181,BEDU,Bright Scholar Education Holdings Limited,61.24M,3.43%,3245,-
182,ATPC,Agape ATP Corporation,59.37M,1.12%,44036,1.43M
183,AACG,ATA Creativity Global,49.30M,1.40%,12905,29.79M
184,COE,51 Talk Online Education Group,37.74M,5.35%,521,24.69M
185,UG,"United-Guardian, Inc.",37.72M,-0.09%,699,11.04M
186,TWOU,"2U, Inc.",35.52M,-9.73%,708931,945.95M
187,NAII,"Natural Alternatives International, Inc.",35.46M,-0.34%,3756,127.76M
188,GNS,Genius Group Limited,32.66M,-4.51%,759957,22.55M
189,LXEH,"Lixiang Education Holding Co., Ltd.",32.40M,13.74%,366845,7.24M
190,VWE,"Vintage Wine Estates, Inc.",32.20M,-7.29%,89362,278.42M
191,YQ,17 Education & Technology Group Inc.,30.57M,-4.43%,6440,22.44M
192,MSS,Maison Solutions Inc.,28.55M,2.80%,21250,57.34M
193,SBEV,"Splash Beverage Group, Inc.",27.75M,-2.78%,23473,20.95M
194,WVVI,"Willamette Valley Vineyards, Inc.",26.06M,0.79%,796,39.77M
195,RMCF,"Rocky Mountain Chocolate Factory, Inc.",25.07M,-0.50%,1569,26.30M
196,BTOG,Bit Origin Limited,24.70M,21.17%,53154,6.26M
