,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
113,SEAT,Vivid Seats Inc.,1.17B,3.40%,647765,712.88M
114,SCHL,Scholastic Corporation,1.16B,1.46%,41009,1.64B
115,GOGO,Gogo Inc.,1.14B,0.45%,155463,397.58M
116,AMC,"AMC Entertainment Holdings, Inc.",1.13B,1.40%,6355785,4.81B
117,PERI,Perion Network Ltd.,1.07B,3.11%,210690,743.16M
118,IDT,IDT Corporation,947.78M,0.27%,37656,1.20B
119,HUYA,HUYA Inc.,937.45M,13.71%,4295404,1.03B
120,SHEN,Shenandoah Telecommunications Company,920.99M,-0.16%,25024,287.38M
121,TTGT,"TechTarget, Inc.",892.37M,1.60%,14127,229.96M
122,KIND,"Nextdoor Holdings, Inc.",885.67M,-1.33%,977112,218.31M
123,FVRR,Fiverr International Ltd.,876.99M,-0.79%,154523,361.38M
124,CCO,"Clear Channel Outdoor Holdings, Inc.",865.86M,-2.23%,120562,2.13B
125,IMAX,IMAX Corporation,859.93M,3.94%,308093,374.84M
126,DLX,Deluxe Corporation,847.62M,-0.52%,127962,2.19B
127,QNST,"QuinStreet, Inc.",829.94M,0.26%,19154,549.59M
128,IHS,IHS Holding Limited,799.66M,4.58%,670669,2.14B
129,SBGI,"Sinclair Broadcast Group, Inc.",796.93M,7.18%,143878,3.13B
130,ASTS,"AST SpaceMobile, Inc.",780.33M,1.33%,1006556,-
131,THRY,"Thryv Holdings, Inc.",768.76M,0.92%,113942,916.96M
132,SMWB,Similarweb Ltd.,747.05M,0.11%,36576,218.02M
133,DDI,"DoubleDown Interactive Co., Ltd.",699.69M,1.83%,30577,308.86M
134,GRPN,"Groupon, Inc.",683.66M,-7.48%,371988,525.35M
135,ATEX,Anterix Inc.,666.72M,1.61%,44063,3.54M
136,GTN,"Gray Television, Inc.",573.76M,0.17%,211812,3.28B
137,EVER,"EverQuote, Inc.",564.11M,2.55%,106304,287.92M
138,AMCX,AMC Networks Inc.,516.20M,3.63%,162951,2.71B
139,GRVY,"Gravity Co., Ltd.",514.15M,-3.97%,45086,558.92M
140,ATNI,"ATN International, Inc.",509.83M,-0.41%,10532,755.27M
141,FUBO,fuboTV Inc.,509.16M,-4.17%,2363368,1.37B
142,CNSL,"Consolidated Communications Holdings, Inc.",497.65M,-0.47%,113205,1.11B
143,RBBN,Ribbon Communications Inc.,493.24M,0.35%,49106,826.34M
144,BOC,Boston Omaha Corporation,491.18M,2.42%,94861,94.18M
145,RSVR,"Reservoir Media, Inc.",475.80M,-0.27%,3298,140.52M
146,GDEV,GDEV Inc.,454.10M,-,16,-
147,MCS,The Marcus Corporation,453.00M,-,31577,729.58M
148,ZH,Zhihu Inc.,451.48M,1.06%,680152,574.22M
149,NN,NextNav Inc.,428.51M,35.22%,1143131,3.46M
150,CCG,Cheche Group Inc,421.86M,-2.13%,7945,-
151,NCMI,"National CineMedia, Inc.",379.40M,-1.91%,50683,166.10M
152,NEXN,Nexxen International Ltd.,375.67M,-0.20%,12713,331.99M
