,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
123,GRAB,Grab Holdings Limited,12.44B,2.92%,5860951,2.36B
124,JNPR,"Juniper Networks, Inc.",12.12B,-0.96%,1278278,5.56B
125,PCOR,"Procore Technologies, Inc.",11.56B,1.22%,356529,950.01M
126,ZI,ZoomInfo Technologies Inc.,11.56B,1.15%,1605959,1.24B
127,AFRM,"Affirm Holdings, Inc.",11.46B,-4.00%,2672079,1.91B
128,DOCU,"DocuSign, Inc.",11.41B,3.59%,3437852,2.76B
129,FFIV,"F5, Inc.",11.35B,0.37%,90286,2.81B
130,QRVO,"Qorvo, Inc.",11.28B,1.22%,200990,3.46B
131,LSCC,Lattice Semiconductor Corporation,11.07B,-0.46%,569552,737.15M
132,CYBR,CyberArk Software Ltd.,10.91B,-0.24%,79450,751.89M
133,DOX,Amdocs Limited,10.82B,0.11%,88748,4.95B
134,ESTC,Elastic N.V.,10.66B,-1.77%,819939,1.21B
135,U,Unity Software Inc.,10.55B,0.15%,2618909,2.19B
136,MNDY,monday.com Ltd.,10.48B,-1.52%,164221,729.70M
137,DAY,Dayforce Inc,10.48B,1.06%,195673,1.51B
138,OTEX,Open Text Corporation,10.31B,0.62%,107482,5.70B
139,PAYC,"Paycom Software, Inc.",10.25B,1.81%,239683,1.69B
140,CFLT,"Confluent, Inc.",10.18B,-2.98%,1066233,776.95M
141,GWRE,"Guidewire Software, Inc.",9.80B,-2.24%,127195,925.75M
142,WEX,WEX Inc.,9.55B,0.71%,79207,2.55B
143,INFA,Informatica Inc.,9.39B,0.25%,76643,1.60B
144,COHR,"Coherent, Inc.",9.31B,-3.71%,782179,4.63B
145,GLOB,Globant S.A.,9.29B,1.86%,193730,2.10B
146,PCTY,Paylocity Holding Corporation,9.22B,3.21%,422037,1.29B
147,DUOL,"Duolingo, Inc.",9.16B,4.27%,333994,531.11M
148,SNX,TD SYNNEX Corporation,9.14B,0.11%,60406,57.56B
149,ONTO,Onto Innovation Inc.,9.10B,-2.54%,441598,815.87M
150,GTLB,GitLab Inc.,9.09B,-2.18%,1062224,579.91M
151,NXT,Nextracker Inc.,8.70B,1.06%,931486,2.28B
152,MKSI,"MKS Instruments, Inc.",8.59B,-0.45%,119148,3.62B
153,AMKR,"Amkor Technology, Inc.",8.58B,-3.65%,279768,6.50B
154,CACI,CACI International Inc,8.34B,-0.56%,15305,7.13B
155,DBX,"Dropbox, Inc.",8.26B,-2.16%,2004239,2.50B
156,S,"SentinelOne, Inc.",8.20B,-1.75%,1821864,573.08M
157,APPF,"AppFolio, Inc.",8.16B,0.01%,26510,620.45M
158,OLED,Universal Display Corporation,8.02B,-0.34%,87233,576.43M
159,WIX,Wix.com Ltd.,7.95B,-0.44%,73602,1.56B
