,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
123,DCI,"Donaldson Company, Inc.",8.73B,-1.14%,129469,3.48B
124,SSD,"Simpson Manufacturing Co., Inc.",8.72B,-2.92%,49053,2.21B
125,PSN,Parsons Corporation,8.62B,-1.34%,219465,5.44B
126,RHI,Robert Half International Inc.,8.56B,-1.62%,225628,6.39B
127,CHRW,"C.H. Robinson Worldwide, Inc.",8.47B,3.52%,430659,17.60B
128,AGCO,AGCO Corporation,8.41B,1.75%,159190,14.41B
129,KBR,"KBR, Inc.",8.33B,-0.86%,228349,6.96B
130,ARMK,Aramark,8.31B,0.41%,447594,18.66B
131,MIDD,The Middleby Corporation,8.25B,0.30%,194816,4.04B
132,WCC,"WESCO International, Inc.",8.14B,-1.43%,90126,22.39B
133,SITE,"SiteOne Landscape Supply, Inc.",8.11B,-1.54%,246112,4.30B
134,AYI,"Acuity Brands, Inc.",7.83B,0.28%,48380,3.89B
135,RBC,RBC Bearings Incorporated,7.82B,-0.53%,15968,1.54B
136,OSK,Oshkosh Corporation,7.49B,0.96%,181654,9.66B
137,IEP,Icahn Enterprises L.P.,7.46B,-3.70%,751337,10.85B
138,BZ,Kanzhun Limited,7.39B,3.12%,1145261,750.22M
139,MTZ,"MasTec, Inc.",7.32B,-4.16%,169645,12.00B
140,MSA,MSA Safety Incorporated,7.31B,-0.44%,15010,1.79B
141,FCN,"FTI Consulting, Inc.",7.25B,0.01%,43722,3.49B
142,PAC,"Grupo Aeroportuario del Pacífico, SAB de CV",7.16B,-0.25%,39495,1.41B
143,AIT,"Applied Industrial Technologies, Inc.",7.15B,-1.29%,222933,4.46B
144,GNRC,Generac Holdings Inc.,7.06B,-0.47%,219276,4.02B
145,AZEK,The AZEK Company Inc.,7.00B,-2.35%,328550,1.39B
146,WTS,"Watts Water Technologies, Inc.",6.82B,-0.74%,13002,2.06B
147,IBP,"Installed Building Products, Inc.",6.75B,-0.52%,35791,2.78B
148,AAON,"AAON, Inc.",6.67B,-2.47%,98470,1.17B
149,LSTR,"Landstar System, Inc.",6.66B,0.93%,49732,5.30B
150,ATI,ATI Inc.,6.47B,-2.39%,231717,4.17B
151,FLR,Fluor Corporation,6.47B,-1.74%,208493,15.47B
152,CR,Crane Company,6.42B,0.82%,50789,2.42B
153,HXL,Hexcel Corporation,6.41B,-2.16%,103544,1.79B
154,CAE,CAE Inc.,6.30B,-0.76%,72743,3.38B
155,TNET,"TriNet Group, Inc.",6.23B,-2.24%,225487,4.92B
156,ATKR,Atkore Inc.,6.18B,0.08%,111211,3.48B
157,DRS,"Leonardo DRS, Inc.",6.15B,-2.61%,113926,2.83B
158,ESAB,ESAB Corporation,6.07B,-1.85%,59758,2.77B
159,GTLS,"Chart Industries, Inc.",6.06B,1.10%,121962,3.35B
