,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
124,CRGY,Crescent Energy Company,1.95B,0.18%,306836,2.38B
125,HPK,"HighPeak Energy, Inc.",1.88B,4.58%,67778,1.11B
126,TNK,Teekay Tankers Ltd.,1.83B,-0.93%,81119,1.36B
127,KGS,"Kodiak Gas Services, Inc.",1.82B,0.12%,72869,850.38M
128,VTLE,"Vital Energy, Inc.",1.81B,0.50%,201268,1.47B
129,VET,Vermilion Energy Inc.,1.79B,3.82%,2025385,1.51B
130,DHT,"DHT Holdings, Inc.",1.79B,-2.16%,1399515,560.56M
131,MNR,Mach Natural Resources LP,1.73B,-2.22%,64042,817.06M
132,DKL,"Delek Logistics Partners, LP",1.71B,0.67%,96387,1.02B
133,DK,"Delek US Holdings, Inc.",1.70B,0.30%,430474,16.92B
134,BORR,Borr Drilling Limited,1.65B,2.60%,1133334,771.60M
135,KRP,"Kimbell Royalty Partners, LP",1.63B,-0.25%,138107,294.07M
136,RES,"RPC, Inc.",1.63B,0.53%,397938,1.62B
137,DNN,Denison Mines Corp.,1.62B,-1.09%,5280643,1.39M
138,GLP,Global Partners LP,1.58B,-1.66%,11473,16.49B
139,DNOW,NOW Inc.,1.55B,-1.15%,107543,2.32B
140,LPG,Dorian LPG Ltd.,1.53B,0.53%,191007,552.96M
141,HLX,"Helix Energy Solutions Group, Inc.",1.46B,-1.26%,363828,1.29B
142,WKC,World Kinect Corporation,1.43B,-2.97%,88922,47.71B
143,FLNG,FLEX LNG Ltd.,1.37B,-,70839,371.02M
144,GEL,"Genesis Energy, L.P.",1.36B,0.98%,35972,3.18B
145,NEXT,NextDecade Corporation,1.31B,-0.39%,157121,-
146,DO,"Diamond Offshore Drilling, Inc.",1.26B,2.77%,1415679,1.06B
147,DMLP,"Dorchester Minerals, L.P.",1.25B,0.14%,20007,163.80M
148,ACDC,ProFrac Holding Corp.,1.24B,0.26%,89449,2.93B
149,CLMT,"Calumet Specialty Products Partners, L.P.",1.20B,-0.39%,13726,4.18B
150,NRP,Natural Resource Partners L.P.,1.17B,2.74%,49917,370.01M
151,NVGS,Navigator Holdings Ltd.,1.10B,1.06%,33339,532.39M
152,MRC,MRC Global Inc.,1.03B,-1.89%,148089,3.41B
153,WTTR,"Select Energy Services, Inc.",1.01B,0.47%,380654,1.59B
154,UUUU,Energy Fuels Inc.,996.86M,1.16%,788995,37.93M
155,SLCA,"U.S. Silica Holdings, Inc.",918.31M,1.87%,221547,1.55B
156,PDS,Precision Drilling Corporation,902.07M,0.24%,10817,1.46B
157,SBR,Sabine Royalty Trust,891.38M,0.54%,13153,93.01M
158,CAPL,CrossAmerica Partners LP,833.34M,0.05%,4984,4.39B
159,PUMP,ProPetro Holding Corp.,807.98M,0.14%,425114,1.63B
160,SBOW,"SilverBow Resources, Inc.",794.04M,1.85%,34561,652.36M
161,DRQ,"Dril-Quip, Inc.",783.60M,0.92%,143942,424.06M
162,NBR,Nabors Industries Ltd.,783.15M,2.14%,30186,3.05B
163,EFXT,Enerflex Ltd.,776.63M,-0.64%,22257,2.38B
164,NGL,NGL Energy Partners LP,770.10M,1.20%,37604,7.38B
165,TELL,Tellurian Inc.,768.31M,13.26%,33539216,166.13M
166,EU,enCore Energy Corp.,756.47M,2.57%,253375,-
167,CLB,Core Laboratories N.V.,743.83M,1.76%,59228,509.79M
